;;;
НАДКОСТНИЦА;соединительнотканная ткань;Надкостница (периост)- ткань, окружающая кость снаружи.;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B4%D0%BA%D0%BE%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0
НАДКОСТНИЦА;оболочка;надкостница- оболочка кости, состоящая из плотной волокнистой соединительной ткани. (Словарь медицинских терминов);https://xn--b1algemdcsb.xn--p1ai/wd/%D0%BD%D0%B0%D0%B4%D0%BA%D0%BE%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0
НАДКОСТНИЦА;соединительнотканная пленка;Надкостница (периост) — соединительнотканная пленка, окружающая кость снаружи. ;https://dic.academic.ru/dic.nsf/ruwiki/1319935
НАДКОСТНИЦА;кость;В состав кости как органа входят: собственно, костная ткань, надкостница, эндост, суставные хрящи, кровеносные сосуды и нервы. ;https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B5%D0%BB%D0%B5%D1%82_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0
НАДКОСТНИЦА;пластинка;Надкостница представляет собой плотную соединительнотканную пластинку, связанную с костью коллагеновыми волокнами.;https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B5%D0%BB%D0%B5%D1%82_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0
НАДКРЫЛЬЯ;крылья;Надкрылья, или элитры[1] (лат. elytrae) — передняя, видоизменённая пара крыльев у жуков и некоторых клопов, прикрывающая сложенные на спине задние крылья.;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B4%D0%BA%D1%80%D1%8B%D0%BB%D1%8C%D1%8F
НАДКРЫЛЬЯ;экзоскелет; придатки экзоскелета насекомых;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE_%D0%BD%D0%B0%D1%81%D0%B5%D0%BA%D0%BE%D0%BC%D1%8B%D1%85
НАДКРЫЛЬЯ;придатки;Крылья насекомых — придатки экзоскелета насекомых, которые используются ими для полёта.;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE_%D0%BD%D0%B0%D1%81%D0%B5%D0%BA%D0%BE%D0%BC%D1%8B%D1%85
НАДКРЫЛЬЯ;подвижная складка;крыло насекомых — подвижная складка наружных покровов у летающих насекомых.;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D1%8B%D0%BB%D0%BE
НАДКРЫЛЬЯ;скелета ;Экзоскелет — внешний тип скелета у некоторых беспозвоночных животных.;https://ru.wikipedia.org/wiki/%D0%AD%D0%BA%D0%B7%D0%BE%D1%81%D0%BA%D0%B5%D0%BB%D0%B5%D1%82_(%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F)
НАИГРЫШ;мелодия;народная инструментальная мелодия;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B8%D0%B3%D1%80%D1%8B%D1%88
НАИГРЫШ;мотив;" Наигрываемая мелодия, мотив; акомпанемент";https://dic.academic.ru/dic.nsf/ushakov/870674
НАИГРЫШ;аккомпанемент;" Наигрываемая мелодия, мотив; акомпанемент";https://dic.academic.ru/dic.nsf/ushakov/870674
НАИГРЫШ;музыка;"Под устным понимается художественное коллективное творчество народа, отражающее его жизнь, воззрения, идеалы, принципы; создаваемые народом и бытующие в народных массах народная музыка (песни, инструментальные наигрыши и пьесы)";https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D1%8C%D0%BA%D0%BB%D0%BE%D1%80
НАИГРЫШ;творчество;"Под устным понимается художественное коллективное творчество народа, отражающее его жизнь, воззрения, идеалы, принципы; создаваемые народом и бытующие в народных массах народная музыка (песни, инструментальные наигрыши и пьесы)";https://ru.wikipedia.org/wiki/%D0%A4%D0%BE%D0%BB%D1%8C%D0%BA%D0%BB%D0%BE%D1%80
НАКОЛЕННИК;доспех;Наколе́нники — элемент доспеха, предназначенный для защиты коленей.;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA%D0%B8_(%D1%8D%D0%BB%D0%B5%D0%BC%D0%B5%D0%BD%D1%82_%D0%B4%D0%BE%D1%81%D0%BF%D0%B5%D1%85%D0%B0)
НАКОЛЕННИК;повязка;повязка, накладка для защиты коленей ;https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%BD%D0%B8%D0%BA
НАКОЛЕННИК;инвентарь;Наколенники – это спортивный и лечебный инвентарь, который предназначен для фиксации коленного сустава. ;https://cross.expert/sportivnaya-ekipirovka/nakolenniki.html
НАКОЛЕННИК;накладка;Накладка, повязка и т. п., надеваемая на колено для предохранения от ударов, ушибов, ожогов и т.;https://classes.ru/all-russian/russian-dictionary-Efremova-term-49677.htm
НАКОЛЕННИК;пoвязкa;Haкoлeнник, -a, мyжcкoй poд Haкoлeннaя нaклaдкa, щитoк, a тaкжe тёплaя пoвязкa.;http://ozhegov.textologia.ru/definit/nakolennik/?q=742&n=187904
НАЛИЧНИК;выступ;небольшой выступ, который устанавливается на оконном проеме, располагается вертикально;https://sargorstroy.ru/fasad/elementy-dekora-fasada-vidy-i-nazvaniya-dekorativnyx-elementov-fasada-doma.html
НАЛИЧНИК;молдинг;Молдинги. К ним относят различные карнизы и короны, наличники на окнах, архитектурные уникальные подоконники.;https://sargorstroy.ru/fasad/elementy-dekora-fasada-vidy-i-nazvaniya-dekorativnyx-elementov-fasada-doma.html
НАЛИЧНИК;декор ;Для построек из сруба используется деревянный декор для фасада дома. В данном случае из дерева делаются различные украшения, например, наличники, карнизы, проемы для дверей/окон, ставни и так далее.;https://sargorstroy.ru/fasad/elementy-dekora-fasada-vidy-i-nazvaniya-dekorativnyx-elementov-fasada-doma.html
НАЛИЧНИК;изделие;Наличник – традиционный элемент декора фасада;Источник: http://happymodern.ru/nalichnik-na-okna-v-derevyannom-dome/
НАЛИЧНИК;обрамление;Наличник — деревянное или каменное декоративное обрамление оконного проема.;http://ez.chita.ru/encycl/concepts/?id=9155
НАМАГНИЧЕННОСТЬ;термин;Намагниченность — это термин, используемый для описания магнитного поля, устанавливающегося в веществе вследствие его поляризации.;http://electricalschool.info/spravochnik/electroteh/2097-chto-takoe-namagnichennost.html
НАМАГНИЧЕННОСТЬ; векторная физическая величина;Намагни́ченность — векторная физическая величина, характеризующая магнитное состояние макроскопического физического тела. ;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BC%D0%B0%D0%B3%D0%BD%D0%B8%D1%87%D0%B5%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C
НАМАГНИЧЕННОСТЬ;описания магнитного поля;Намагниченность — это термин, используемый для описания магнитного поля, устанавливающегося в веществе вследствие его поляризации.;http://electricalschool.info/spravochnik/electroteh/2097-chto-takoe-namagnichennost.html
НАМАГНИЧЕННОСТЬ;характеристика магнитного состояния;"Намагниченность, характеристика магнитного состояния макроскопического физического тела;";https://www.booksite.ru/fulltext/1/001/008/079/910.htm
НАМАГНИЧЕННОСТЬ;свойство веществ;НАМАГНИЧЕННОСТЬ (J) — свойство веществ, т.н., м-лов, определяемое магнитным моментом единицы объема и в общем случае характеризующее их способность к созданию магнитных полей.;http://www.cnshb.ru/AKDiL/0042/base/RN/015817.shtm
НАНОСЕКУНДА;время;Наносекунда (нс) — единица времени, равная одной миллиардной доле секунды; http://cyclowiki.org/wiki/%D0%9D%D0%B0%D0%BD%D0%BE%D1%81%D0%B5%D0%BA%D1%83%D0%BD%D0%B4%D0%B0
НАНОСЕКУНДА;средство измерений;средство измерений, предназначенное для воспроизведения и хранения физической величины;https://ru.wiktionary.org/wiki/%D0%BC%D0%B5%D1%80%D0%B0
НАНОСЕКУНДА;единица измерения ; единица измерения времени;https://dic.academic.ru/dic.nsf/ruwiki/1054832
НАНОСЕКУНДА; мера; мера, величина для стандартизованного представления результатов измерений, изучается наукой метрологией ;https://ru.wiktionary.org/wiki/%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%86%D0%B0_%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D1%8F
НАНОСЕКУНДА;величина ; мера, величина для стандартизованного представления результатов измерений, изучается наукой метрологией ;https://ru.wiktionary.org/wiki/%D0%B5%D0%B4%D0%B8%D0%BD%D0%B8%D1%86%D0%B0_%D0%B8%D0%B7%D0%BC%D0%B5%D1%80%D0%B5%D0%BD%D0%B8%D1%8F
НАНОСТРУКТУРА;совокупность наноразмерных объектов;НАНОСТРУКТУРА - совокупность наноразмерных объектов искусственного или естественного происхождения ;https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D0%BD%D0%BE%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80%D0%B0
НАНОСТРУКТУРА;объекты;объекты, выступающие вместе, как одно целое ;https://ru.wiktionary.org/wiki/%D1%81%D0%BE%D0%B2%D0%BE%D0%BA%D1%83%D0%BF%D0%BD%D0%BE%D1%81%D1%82%D1%8C
НАНОСТРУКТУРА;множество ;множество (совокупность объектов произвольной природы), отношение принадлежности элементов множествам, подмножество;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BE%D1%80%D0%B8%D1%8F_%D0%BC%D0%BD%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2
НАНОСТРУКТУРА;количество;множество - большое количество, изобилие ;https://ru.wikipedia.org/wiki/%D0%9C%D0%BD%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%BE
НАНОСТРУКТУРА;степень выраженности качества;степень выраженности качества у объектов, которую в математике отождествляют с величиной;https://ru.wiktionary.org/wiki/%D0%BA%D0%BE%D0%BB%D0%B8%D1%87%D0%B5%D1%81%D1%82%D0%B2%D0%BE
НАПИЛЬНИК;инструмент ;многолезвийный инструмент для обработки металлов, дерева, пластмасс и других твердых материалов.;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BF%D0%B8%D0%BB%D1%8C%D0%BD%D0%B8%D0%BA
НАПИЛЬНИК;предмет;Инструме́нт (лат. instrumentum — орудие[1]) — предмет, устройство, механизм, машина или алгоритм, используемые для целевого воздействия на объект: его изменения или измерения[1] в целях достижения полезного эффекта.;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82
НАПИЛЬНИК;устройство;Инструме́нт (лат. instrumentum — орудие[1]) — предмет, устройство, механизм, машина или алгоритм, используемые для целевого воздействия на объект: его изменения или измерения[1] в целях достижения полезного эффекта.;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82
НАПИЛЬНИК;механизм;Инструме́нт (лат. instrumentum — орудие[1]) — предмет, устройство, механизм, машина или алгоритм, используемые для целевого воздействия на объект: его изменения или измерения[1] в целях достижения полезного эффекта.;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82
НАПИЛЬНИК;машина ;Инструме́нт (лат. instrumentum — орудие[1]) — предмет, устройство, механизм, машина или алгоритм, используемые для целевого воздействия на объект: его изменения или измерения[1] в целях достижения полезного эффекта.;https://ru.wikipedia.org/wiki/%D0%98%D0%BD%D1%81%D1%82%D1%80%D1%83%D0%BC%D0%B5%D0%BD%D1%82
НАРКОТИЗАЦИЯ;приведение в состояние наркоза;"действие по значению гл. наркотизировать; приведение в состояние наркоза ";https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D1%80%D0%BA%D0%BE%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F
НАРКОТИЗАЦИЯ;действие ;действие по значению гл. приводить;https://ru.wiktionary.org/wiki/%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5
НАРКОТИЗАЦИЯ;попадание в зависимость;попадание в зависимость от наркотиков, превращение в наркомана (наркоманов);https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D1%80%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F
НАРКОТИЗАЦИЯ;проблемное явление;Наркотизация - проблемное явление, характеризующее степень психологической готовности к принятию любого рода наркотических веществ.;https://studbooks.net/615391/sotsiologiya/ponyatie_narkotizatsii
НАРКОТИЗАЦИЯ;усыпление;Приведение в бесчувственное состояние, усыпление;https://dic.academic.ru/dic.nsf/ushakov/875070
НАРУКАВНИК;чехол;Нарука́вник[1] — тканевые или клеенчатые чехлы-полурукава, надеваемые поверх рукавов одежды с целью их защиты от загрязнения;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BD%D0%B8%D0%BA
НАРУКАВНИК;рукав;"рукав или полурукав, отдельно надуваемый сверху, для сбереженья одежды; писцы, в купецких конторах, надевают нарукавники.";https://ru.wikisource.org/wiki/%D0%A2%D0%A1%D0%942/%D0%9D%D0%B0%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BD%D0%B8%D0%BA
НАРУКАВНИК;полурукав;Особый, надеваемый сверху полурукав, предохраняющий одежду во время работы.;https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BD%D0%B0%D1%80%D1%83%D0%BA%D0%B0%D0%B2%D0%BD%D0%B8%D0%BA
НАРУКАВНИК;деталь одежды;Рука́в — деталь одежды, покрывающая всю руку или часть руки.;https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%BA%D0%B0%D0%B2_(%D0%B4%D0%B5%D1%82%D0%B0%D0%BB%D1%8C_%D0%BE%D0%B4%D0%B5%D0%B6%D0%B4%D1%8B)
НАРУКАВНИК;часть одежды;часть одежды, покрывающая руку (от плеча до кисти или короче) ;https://ru.wiktionary.org/wiki/%D1%80%D1%83%D0%BA%D0%B0%D0%B2
НАСЕДКА;птица;Наседка — птица, высиживающая яйца.;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%81%D0%B5%D0%B4%D0%BA%D0%B0_(%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D1%8F)
НАСЕДКА;курица;курица, высиживающая или водящая цыплят ;https://ru.wiktionary.org/wiki/%D0%BD%D0%B0%D1%81%D0%B5%D0%B4%D0%BA%D0%B0
НАСЕДКА;теплокровное позвоночное пернатое животное;теплокровное позвоночное пернатое животное, обладающее верхними конечностями в виде крыльев;https://ru.wiktionary.org/wiki/%D0%BF%D1%82%D0%B8%D1%86%D0%B0
